"Reference","Value","Footprint","Datasheet","Field4","Field5","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Qty"
"C1, C2, C5","100n","Capacitor_SMD:C_1206_3216Metric","https://hu.mouser.com/datasheet/2/447/KEM_C1013_X7R_FT_CAP_SMD-3316633.pdf","","","","KEMET","C1206X104J9RAL7210","80-C1206X104J9RAL721","https://hu.mouser.com/ProductDetail/KEMET/C1206X104J9RAL7210?qs=eON0oSML0Hzd%2FK31GTBmdA%3D%3D","3"
"C3, C4","4.7u","Capacitor_SMD:C_1206_3216Metric","https://hu.mouser.com/datasheet/2/447/KEM_T2005_T491-3316937.pdf","","","","KEMET","T491A475K006AT7622","80-T491A475K6AT7622","https://hu.mouser.com/ProductDetail/KEMET/T491A475K006AT7622?qs=WOKUqv%2F%2FT%2FYI6iB1l8dYag%3D%3D","2"
"IC1","TLV9024RTER","OwnLib:QFN50P300X300X80-17N-D","https://www.ti.com/lit/gpn/tlv9024","","","0.8","Texas Instruments","TLV9024RTER","595-TLV9024RTER","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV9024RTER?qs=eP2BKZSCXI7hRMN0czoUqg%3D%3D","1"
"J1","USB_B","Connector_USB:USB_B_Lumberg_2411_02_Horizontal","https://hu.mouser.com/datasheet/2/18/61729-1525137.pdf","","","","Amphenol FCI","61729-1021BLF","649-61729-1021BLF","https://hu.mouser.com/ProductDetail/Amphenol-FCI/61729-1021BLF?qs=fNaKm0Yd6uM0Ry8QraTiXA%3D%3D","1"
"J2","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","Árwill","","244112","https://arwill.hu/termekek/csatlakozok/jel/tuskesor/tuskesor-1x40-244112/","1"
"J3","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","Árwill","","244112","https://arwill.hu/termekek/csatlakozok/jel/tuskesor/tuskesor-1x40-244112/","1"
"LED1","HLMP-2820","OwnLib:DIP762W56P254L2032H647Q16N","https://componentsearchengine.com/Datasheets/1/HLMP-2820.pdf","","","6.473","Avago Technologies","HLMP-2820","630-HLMP-2820","https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/HLMP-2820?qs=jT9z6tsiFNkPtOl8sRjU%2FQ%3D%3D","1"
"R1, R2","1k7","Resistor_SMD:R_1206_3216Metric","https://www.koaspeer.com/pdfs/RK73G.pdf","","","","KOA Speer","RK73G1JTTD1071C","660-RK73G1JTTD1071C","https://hu.mouser.com/ProductDetail/KOA-Speer/RK73G1JTTD1071C?qs=sGAEpiMZZMvdGkrng054t5uqXfHv%252BwqXvK%252Bv9OWFhtMpFHtYCG1lzQ%3D%3D","2"
"R3, R6, R9","10k","Resistor_SMD:R_1206_3216Metric","https://www.vishay.com/docs/28758/tnpw_e3.pdf","","","","Vishay / Dale","TNPW120610K0BEEA","71-TNPW120610K0BEEA","https://hu.mouser.com/ProductDetail/Vishay-Dale/TNPW120610K0BEEA?qs=sGAEpiMZZMvdGkrng054t%252BPZDYtCzF2J5xjqakokhPw%3D","3"
"R4, R8, R13, R14","60.4","Resistor_SMD:R_1206_3216Metric","https://www.vishay.com/docs/28758/tnpw_e3.pdf","","","","Vishay / Dale","TNPW120660R4BEEA","71-TNPW120660R4BEEA","https://hu.mouser.com/ProductDetail/Vishay-Dale/TNPW120660R4BEEA?qs=sGAEpiMZZMvdGkrng054t%252BPZDYtCzF2Jg88z0ZRuF7M%3D","4"
"R5","17.8","Resistor_SMD:R_1206_3216Metric","https://www.vishay.com/docs/28758/tnpw_e3.pdf","","","","Vishay / Dale","TNPW120617R8BEEN","71-TNPW120617R8BEEN","https://hu.mouser.com/ProductDetail/Vishay-Dale/TNPW120617R8BEEN?qs=sGAEpiMZZMvdGkrng054t1Hb8yo0cB65IVsbP13By80%3D","1"
"R7","1.43k","Resistor_SMD:R_1206_3216Metric","https://www.vishay.com/docs/28758/tnpw_e3.pdf","","","","Vishay / Dale","TNPW12061K43BEEA","71-TNPW12061K43BEEA","https://hu.mouser.com/ProductDetail/Vishay-Dale/TNPW12061K43BEEA?qs=sGAEpiMZZMvdGkrng054t%252BPZDYtCzF2J6Dq32FeIWWA%3D","1"
"R10","5k","Resistor_SMD:R_1206_3216Metric","https://www.vishay.com/docs/28758/tnpw_e3.pdf","","","","Vishay / Dale","TNPW12065K00BEEA","71-TNPW12065K00BEEA","https://hu.mouser.com/ProductDetail/Vishay-Dale/TNPW12065K00BEEA?qs=sGAEpiMZZMvdGkrng054twbPyJJnNTBK8XnKN%252BFYJ3A%3D","1"
"R11","2k","Resistor_SMD:R_1206_3216Metric","https://www.vishay.com/docs/28758/tnpw_e3.pdf","","","","Vishay / Dale","TNPW12062K00BEEA","71-TNPW12062K00BEEA","https://hu.mouser.com/ProductDetail/Vishay-Dale/TNPW12062K00BEEA?qs=sGAEpiMZZMvdGkrng054t%252BPZDYtCzF2JnpMruLEB7jY%3D","1"
"R12","3k","Resistor_SMD:R_1206_3216Metric","https://www.vishay.com/docs/28758/tnpw_e3.pdf","","","","Vishay / Dale","TNPW12063K00BEEA","71-TNPW12063K00BEEA","https://hu.mouser.com/ProductDetail/Vishay-Dale/TNPW12063K00BEEA?qs=sGAEpiMZZMvdGkrng054t%252BPZDYtCzF2J7eVP9mBxWkU%3D","1"
"R15","590","Resistor_SMD:R_1206_3216Metric","https://hu.mouser.com/datasheet/2/315/DMM0000COL9-3010254.pdf","","","","Panasonic","ERA-8AEB5900V","667-ERA-8AEB5900V","https://hu.mouser.com/ProductDetail/Panasonic/ERA-8AEB5900V?qs=sGAEpiMZZMvdGkrng054t5mej2KPdPuFwQ3%2FvLmKbP8%3D","1"
"SW1","SW_Push","Button_Switch_SMD:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","","","Omron Electronics","B3FS-1000P","653-B3FS-1000P","https://hu.mouser.com/ProductDetail/Omron-Electronics/B3FS-1000P?qs=ImaqFqjHA4k6odVF2%2FXWpQ%3D%3D","1"
