Designator,Footprint,Quantity,Value,LCSC Part #
"5V1, GND1, TP1, TP2, TP3",TestPoint_Pad_1.0x1.0mm,5,TestPoint,
"C1, C11, C12, C13, C5, C6",C_0402,6,100nF,C1525
C10,C_0402,1,10nF,C15195
"C2, C3",C_0402,2,10pF,C32949
"C4, C8",C_0402,2,1uF,C52923
C7,C_0402,1,4.7uF,C23733
C9,C_Elec_6.3x7.7,1,C_Polarized,
D1,D_0603,1,Green,C2986059
D2,D_0805,1,Green,C2297
D3,D_SOD-123FL,1,SM4007PL,C64898
"D6, D7",D_SOD-523,2,1SS389,C22466369
FB1,FB_0603,1,~,C1002
"J1, J2","PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical",2,Conn_01x02,
"J11, J12, J3, J4, J9",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,5,Conn_01x02,
J5,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03,
"J6, J7",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,2,Conn_01x04,
J8,JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,1,Conn_01x05,
JPR1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
PS1,Converter_ACDC_Hi-Link_HLK-10Mxx,1,HLK-10M05,
"Q1, Q2",Q_SOT-23,2,2N7002,C8545
R1,R_0402,1,10kΩ,C25744
"R15, R16, R3, R4, R5",R_0402,5,1kΩ,C11702
R17,R_0603,1,820Ω,C23253
"R18, R19, R6, R7, R8",R_0402,5,3.3kΩ,C25890
R2,R_0402,1,100Ω,C25076
R20,R_0603,1,300Ω,C23025
R21,R_0402,1,2.4kΩ,C25882
S1,SW_JQC-3FF-S-Z,1,JQC-3FF-S-Z,
U1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P332MR,C5446
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX6675ISA_,
U2,LQFP-32_7x7mm_P0.8mm,1,STM32F301K8Tx,
U3,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,MCP6002T,C7377
U4,MODULE_RASPBERRY_PI_ZERO_2_W,1,RASPBERRY_PI_ZERO_2_W,
U5,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593
U9,SOT-23,1,MCP1525-TT,
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
