Designator,Mid X,Mid Y,Rotation,Layer
C1,139.192,-91.059,180.0,top
C10,144.272,-102.997,135.0,top
C11,161.4932,-95.8342,180.0,top
C12,152.654,-83.566,180.0,top
C13,167.64,-105.926,90.0,top
C2,141.351,-101.727,315.0,top
C3,142.748,-103.124,135.0,top
C4,133.096,-94.361,270.0,top
C5,155.194,-98.814001,270.0,top
C6,141.605,-98.814,90.0,top
C7,140.462,-98.552,90.0,top
C8,138.557,-94.742,270.0,top
C9,134.7235,-100.135,270.0,top
D1,149.606,-107.188,270.0,top
D2,107.6725,-82.101,180.0,top
D3,113.5425,-71.106,90.0,top
D6,154.686,-104.902,90.0,top
D7,169.926,-108.712,180.0,top
FB1,138.176,-107.696,135.0,top
J1,85.6425,-78.466,90.0,top
J11,164.318,-85.217,0.0,top
J12,164.231,-90.17,0.0,top
J2,85.6253,-66.6324,90.0,top
J3,175.768,-97.643,270.0,top
J4,173.629,-90.17,0.0,top
J5,167.3225,-113.978,180.0,top
J6,154.6625,-113.978,180.0,top
J7,175.768,-109.16,270.0,top
J8,139.4517,-113.978,180.0,top
J9,173.589,-85.217,0.0,top
JPR1,134.361,-89.154,90.0,top
PS1,105.8925,-100.406,0.0,top
Q1,117.5025,-69.6437,180.0,top
Q2,146.736,-108.773,0.0,top
R1,142.113,-96.012,225.0,top
R15,157.988,-101.346,0.0,top
R16,154.694,-93.091,0.0,top
R17,157.353,-104.171553,180.0,top
R18,127.77725,-73.86175,90.0,top
R19,124.85625,-75.00475,90.0,top
R2,172.02,-108.204,90.0,top
R20,156.591,-106.553,270.0,top
R21,169.926,-105.918,270.0,top
R3,149.606,-109.982,270.0,top
R4,147.32,-105.791,225.0,top
R5,104.6245,-82.101,0.0,top
R6,154.813,-95.377,135.0,top
R7,164.719,-95.25,270.0,top
R8,156.591,-97.663,90.0,top
S1,100.78,-71.206,180.0,top
U1,135.89,-92.837,0.0,top
U10,152.273,-87.122,90.0,top
U2,148.4395,-98.865,315.0,top
U3,162.559853,-107.397353,180.0,top
U4,145.0725,-67.6305,180.0,bottom
U5,161.671,-98.171,270.0,top
U9,165.686353,-102.616,0.0,top
X1,140.22056,-104.012176,135.0,top
